0
David Phillip Roe
John Mondy Shimkus
Guy L. Reschenthaler
Howard Morgan Griffith
Todd Christopher Young
Marsha Blackburn
Addison Mitchell McConnell
Patrick Joseph Toomey
Kevin J. Cramer
Paul Anthony Gosar
Alexander Xavier Mooney
David Bennett McKinley
Kevin O. McCarthy
Bryan G. Steil
Dwight Evans
Glenn William Thompson
Frank Joseph Pallone Jr.
Mark Robert Warner
Charles Ellis Schumer
Anna Georges Eshoo
Jennifer T. Wexton
Marion Michael Rounds
Elizabeth Pannill Fletcher
Jeff Van Drew
Frank Joseph Pallone Jr.
Donald W. Norcross
William J. Pascrell Jr.
Addison Mitchell McConnell
Jeanne Shaheen
Kenneth Stanton Calvert
Timothy Eugene Scott
Addison Mitchell McConnell
Patrick Joseph Toomey
Patrick Timothy McHenry
Mary Gay Scanlon
Elise M. Stefanik
Steven Alexzander Horsford
John Cornyn III
Brian K. Fitzpatrick
David S. Schweikert
Walter Kurt Schrader
Markwayne Mullin
Kevin Patrick Brady
Daniel Scott Sullivan
Gregory Paul Walden
Tina Flint Smith
Dwight Evans
Marco A. Rubio
Richard Edmund Neal
Jeanne Shaheen
Steven E. Stivers
Robert Patrick Casey Jr.
Jodey Cook Arrington
Linda T. Sanchez
Patrick Joseph Toomey
Charles Michael Thompson
Emanuel Cleaver II
Jason T. Smith
Garland Hale Barr IV
Anthony E. Gonzalez
Joshua David Hawley
Vicente Gonzalez
Bradley Scott Schneider
John B. Larson
Patrick Timothy McHenry
James Varni Panetta
Danny K. Davis
Ann Louise Wagner
Billy Long
Lindsey Olin Graham
Jacquelyn Swihart Walorski
Jodey Cook Arrington
William Cassidy
Mark Randal Meadows
Randy Weber
