,0
Congressman Phil Roe,David Phillip Roe
Congressman John Shimkus,John Mondy Shimkus
Congressman Guy Reschenthaler,Guy L. Reschenthaler
Congressman Morgan Griffith,Howard Morgan Griffith
Senator Todd Young,Todd Christopher Young
Senator Marsha Blackburn,Marsha Blackburn
Senator Mitch McConnell,Addison Mitchell McConnell
Senator Pat Toomey,Patrick Joseph Toomey
Senator Kevin Cramer,Kevin J. Cramer
Congressman Paul Gosar,Paul Anthony Gosar
Congressman Alex Mooney,Alexander Xavier Mooney
Congressman David McKinley,David Bennett McKinley
Congressman Kevin McCarthy,Kevin O. McCarthy
Congressman Bryan Steil,Bryan G. Steil
Congressman Dwight Evans,Dwight Evans
Congressman Glenn Thompson,Glenn William Thompson
Congressman Frank Pallone,Frank Joseph Pallone Jr.
Senator Mark Warner,Mark Robert Warner
Senator Chuck Schumer,Charles Ellis Schumer
Congresswoman Anna Eshoo,Anna Georges Eshoo
Congresswoman Jennifer Gonzales,Jennifer T. Wexton
Senator Mike Rounds,Marion Michael Rounds
Congresswoman Elizabeth Pannill Fletcher,Elizabeth Pannill Fletcher
Rep. Jeff Van Drew,Jeff Van Drew
Rep. Frank Pallone,Frank Joseph Pallone Jr.
Rep. Donald Norcross,Donald W. Norcross
Rep. Bill Pascrell,William J. Pascrell Jr.
Sen. Mitch McConnell,Addison Mitchell McConnell
Senator Jeanne Shaheen,Jeanne Shaheen
Ken Calvert,Kenneth Stanton Calvert
Tim Scott,Timothy Eugene Scott
Mitch McConnell,Addison Mitchell McConnell
Pat Toomey,Patrick Joseph Toomey
Patrick McHenry,Patrick Timothy McHenry
Mary Gay Scanlon,Mary Gay Scanlon
Elise Stafanik,Elise M. Stefanik
Steven Horsford,Steven Alexzander Horsford
John Cornyn,John Cornyn III
Brian Fitzpatrick,Brian K. Fitzpatrick
David Schweikert,David S. Schweikert
Kurt Schrader,Walter Kurt Schrader
Markwayne Mullin,Markwayne Mullin
Kevin Brady,Kevin Patrick Brady
Dan Sullivan,Daniel Scott Sullivan
Greg Walden,Gregory Paul Walden
Tina Smith,Tina Flint Smith
Dwight Evans,Dwight Evans
Marco Rubio,Marco A. Rubio
Richard Neal,Richard Edmund Neal
Jeanne Shaheen,Jeanne Shaheen
Steve Stivers,Steven E. Stivers
Bob Casey,Robert Patrick Casey Jr.
"Arrington, Jodey",Jodey Cook Arrington
"Sanchez, Linda",Linda T. Sanchez
"Toomey, Pat",Patrick Joseph Toomey
"Thompson, Mike",Charles Michael Thompson
"Cleaver, Emanuel",Emanuel Cleaver II
"Smith, Jason",Jason T. Smith
"Barr, Andy",Garland Hale Barr IV
"Gonzalez, Anthony",Anthony E. Gonzalez
"Hawley, Joshua",Joshua David Hawley
"Gonzalez, Vicente",Vicente Gonzalez
"Schneider, Bradley",Bradley Scott Schneider
"Larson, John",John B. Larson
"McHenry, Patrick",Patrick Timothy McHenry
"Panetta, Jimmy",James Varni Panetta
"Davis, Danny",Danny K. Davis
"Wagner, Ann",Ann Louise Wagner
"Long, Billy",Billy Long
Senator Lindsay Graham,Lindsey Olin Graham
Rep. Jackie Walorski,Jacquelyn Swihart Walorski
Rep. Jodey Arrington,Jodey Cook Arrington
Sen. Bill Cassidy,William Cassidy
Rep. Mark Meadows,Mark Randal Meadows
Randy Feenstra,Randy Weber
Gov. Steve Bullock,Steven Alexzander Horsford
Sen. Michael Bennet,Michael Farrand Bennet
Conor Lamb,Conor James Lamb
Bob Casey ,Robert Patrick Casey Jr.
Steny Hoyer,Steny Hamilton Hoyer
Rep. Maxine Waters,Maxine Waters
Jaime Harrison,Jaime Lynn Herrera Beutler
