name,count,sum_amount
,14464,"15,583,376.65"
Honeywell International Political Action Committee,498,"1,251,500.00"
NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,439,"1,189,000.00"
Facebook Inc. PAC,14,"1,044,901.00"
AMERICAN BANKERS ASSOCIATION PAC BANKPAC,329,"1,044,500.00"
United Parcel Service Inc. PAC,429,"818,349.75"
National Association of Broadcasters Political Action Committee NABPAC,382,"800,000.00"
"Toyota Motor North America, Inc Political Action Committee (Toyota/Lexus PAC)",11,"640,000.00"
Union Pacific Corp. Fund for Effective Government,174,"607,000.00"
DRIVE,108,"596,500.00"
General Dynamics Corporation Political Action Committee,342,"579,000.00"
ASAPAC,279,"573,500.00"
Massachusetts Mutual Life Insurance Co. PAC,178,"570,500.00"
NEA Fund for Children and Public Education,211,"530,500.00"
Federal Express Political Action Committee,263,"530,175.00"
Transport Workers Union Political Contributions Committee,134,"497,500.00"
BNSF Railway Company RAILPAC (BNSF RAILPAC),208,"488,000.00"
Comcast Corporation & NBCUniversal Political Action Committee - Federal,14,"482,471.00"
National Apartment Association Political Action Committee,207,"481,000.00"
Capital One Financial Corp. Assoc. Political Fund,186,"472,000.00"
McGuireWoods Federal PAC,251,"456,500.00"
Letter Carrier Political Fund,170,"434,000.00"
"Int'l  Assoc. of Sheet Metal, Air, Rail and Transportation",122,"407,500.00"
American Hotel and Lodging Association Political Action Committee HotelPAC,126,"402,500.00"
Ford Motor Company Civic Action Fund,128,"394,000.00"
National Electrical Contractors Association Political Action Committee NECAPAC,117,"394,000.00"
Machinists Non Partisan Political League,82,"392,500.00"
"Independent Insurance Agents & Brokers of America, Inc. PAC",189,"374,500.00"
ConocoPhillips SPIRIT PAC,28,"357,950.00"
CRNA-PAC,155,"356,250.00"
UA Union Plumbers & Pipefitters Vote! PAC,66,"351,389.78"
MORPAC,141,"350,000.00"
Marathon Petroleum Corporation Employees Political Action Committee MPAC,129,"345,500.00"
BACPAC ,69,"343,000.00"
Congressional Black Caucus Political Action Committee,149,"342,750.00"
Bank of America Corporation Federal PAC,116,"339,500.00"
NARFE-PAC,190,"331,500.00"
Abbott Employees Political Action Committee (AEPAC),130,"330,000.00"
Molina PAC,185,"304,500.00"
AOPA PAC,101,"300,500.00"
Regions Financial Corporation Political Action Committee,145,"289,000.00"
Brady PAC,86,"288,000.00"
American Council of Engineering Companies ACECPAC,145,"285,800.00"
The Capital Group Companies Inc Political Action Committee,82,"281,000.00"
Cox Enterprises PAC (COXPAC) Inc.,125,"275,000.00"
Employees of Northrop Grumman Corporation PAC,3,"265,000.00"
CWA-COPE PCC,88,"264,750.00"
American Petroleum Institute Political Action Committee,33,"250,959.76"
BlackRock Funds Services Group LLC Political Action Committee,62,"250,000.00"
"WellCare Health Plans, Inc. PAC",95,"242,000.00"
Quicken Loans PAC,82,"241,000.00"
American Express Company PAC,77,"238,000.00"
CSX Corporation Good Government Fund,95,"237,500.00"
Hogan Lovells Political Action Committee,183,"231,900.00"
Norfolk Southern Corporation Good Government Fund,87,"229,000.00"
EXPERIAN NORTH AMERICA INC POLITICAL ACTION COMMITTEE EXPERIAN PAC,89,"228,500.00"
National Rural Letter Carriers' Association,81,"225,500.00"
BAYER U.S. LLC POLITICAL ACTION COMMITTEE,3,"217,500.00"
Exelon Corporation Political Action Committee,105,"213,500.00"
Deere and Company PAC (AKA John Deere PAC),43,"212,500.00"
Citigroup Inc. PAC - Federal,134,"211,500.00"
Reynolds American Inc Political Action Committee RAI PAC,83,"210,500.00"
Real Estate Roundtable Political Action Committee (REALPAC),50,"209,500.00"
HUNTINGTON INGALLS INDUSTRIES PAC,144,"208,500.00"
Gridiron-PAC,39,"206,000.00"
Allied Pilots Association,160,"200,000.00"
POET PAC,42,"196,000.00"
"Altria Group, Inc. Political Action Committee (AltriaPAC)",12,"193,758.39"
American Financial Services Association PAC,111,"189,500.00"
"iHeartMedia, Inc. PAC",131,"188,500.00"
FamMedPac,71,"188,500.00"
American Podiatric Medical Association Political Action Comm,50,"188,500.00"
"JUUL Labs, Inc. Employees Political Action Committee (JLE PAC)",30,"188,500.00"
National Association of Mutual Insurance Companies PAC,90,"184,500.00"
Fluor Corporation Political Action Committee (Fluor PAC),65,"184,100.00"
Barnes & Thornburg LLP Political Action Committee,203,"183,442.00"
Truist Financial Corporation PAC (Formerly BB&T PAC),50,"181,000.00"
Pacific Life Political Action Committee,82,"180,500.00"
State Farm Mutual Automobile Insurance Company Federal Political Action Committee (State Farm Federal PAC),5,"180,500.00"
MetLife Inc. Employees' Political Participation Fund A,77,"180,000.00"
Hewlett Packard Enterprise PAC (HPE PAC),75,"179,500.00"
Title Industry Political Action Committee,77,"178,250.00"
Fresenius Medical Care North America PAC,79,"177,000.00"
International Brotherhood of Boilermakers Campaign Assistance Fund,89,"176,000.00"
"Verizon Communications, Inc. Political Action Committee (Verizon PAC)",4,"175,000.00"
VCAP,46,"173,350.00"
US Bancorp Federal Political Action Committee,83,"172,500.00"
Murray Energy Corporation Political Action Committee,4,"172,500.00"
FirstEnergy PAC,77,"171,500.00"
McDermott Will & Emery LLP PAC,104,"170,800.00"
AALU PAC,112,"170,500.00"
LPL Financial LLC Political Action Committee LPL PAC,90,"170,000.00"
UNITE HERE TIP Campaign Committee,46,"169,500.00"
Amalgamated Transit Union - COPE,61,"169,000.00"
DEPOSITORY TRUST AND CLEARING CORPORATION PAC  DTCC PAC THE,60,"165,000.00"
UMWA COAL MINERS POLITICAL ACTION COMMITTEE,124,"164,650.00"
NARAL Pro-Choice America PAC,47,"163,500.00"
The Williams Companies Political Action Committee,49,"161,000.00"
The Caterpillar Inc. Employee Political Action Committee,60,"159,500.00"
PhRMA Better Government Committee,73,"156,500.00"
Dominion Energy Inc. Political Action Committee,65,"156,500.00"
AFSCME PEOPLE Committee,4,"156,000.00"
AMGEN PAC,4,"155,000.00"
Phillips 66 PAC,56,"151,000.00"
Seniors Housing PAC,71,"150,500.00"
Google LLC NETPAC,8,"150,474.00"
"AMEDISYS, INC. POLITICAL ACTION COMMITTEE",40,"149,500.00"
General Atomics Political Action Committee,55,"147,400.00"
Space Exploration Technologies Corp PAC,45,"144,000.00"
Pinnacle West Capital Corporation PAC,54,"143,750.00"
Intel Employee Government Action Fund,64,"141,000.00"
TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC,68,"140,500.00"
Sanofi US Services Inc. Employees' Political Action Committee,59,"138,500.00"
Centene Corporation Political Action Committee (Centene PAC),35,"137,300.00"
National Confectioners Association of the United States Inc Political Action Committee Candy PAC,76,"137,000.00"
National Turkey Federation PAC,45,"137,000.00"
Securities Industry and Financial Markets Association PAC,85,"135,000.00"
US Travel Association PAC,63,"133,500.00"
Parsons Corporation Political Action Committee,38,"133,500.00"
Samsung Electronics America Inc Political Action Committee,78,"132,449.09"
Asian American Action Fund,46,"130,850.00"
AdvaMed PAC,97,"129,250.00"
Blue Shield of California Political Action Committee,33,"128,500.00"
PepsiCo Inc Concerned Citizens Fund,28,"126,750.00"
BOSTON SCIENTIFIC CORPORATION POLITICAL ACTION COMMITTEE BSC PAC,75,"124,500.00"
The Hartford Financial Services Group Inc PAC AKA THE HARTFORD ADVOCATES FUND,71,"124,500.00"
American Chemistry Council PAC,58,"123,500.00"
Chubb Group Holdings Inc. Political Action Committee,72,"121,500.00"
FCO PAC,34,"121,000.00"
"Truist Financial Corp Fed, State and Local PAC (fka SunTrust Banks, Inc. Main Street Bankers PAC)",47,"120,500.00"
Charles Schwab Corporation Political Action Committee,72,"118,000.00"
Jackson National Federal PAC,65,"117,000.00"
The Vanguard Group Committee for Responsible Government,45,"116,500.00"
DaVita Inc. Political Action Committee (DaPAC),4,"116,000.00"
Atlas Air Worldwide Holdings Inc. Political Action Committee,53,"115,500.00"
ASPIRE PAC,192,"115,000.00"
AECOM PAC,73,"113,000.00"
"Baker, Donelson, Bearman, Caldwell and Berkowitz, PC PAC",64,"113,000.00"
"Bechtel Group, Inc. Political Action Committee",60,"113,000.00"
"Foley & Lardner Political Fund, Inc.",102,"112,584.31"
Managed Funds Assoc. Political Action Committee (MFA-PAC),36,"112,000.00"
Direct Supply Inc Partners PAC DSI Partners PAC,16,"111,800.00"
