payeeName,count,sum_amount
,2304,"4,217,897.35"
Congressional Black Caucus Foundation,28,"704,225.00"
Congressional Hispanic Caucus Institute,18,"630,000.00"
International Republican Institute,3,"505,000.00"
NRSC,116,"484,076.00"
National Republican Senatorial Committee,140,"447,545.00"
DSCC,104,"427,241.64"
McConnell Senate Committee,125,"344,785.00"
McCarthy Victory Fund,99,"337,050.00"
MBA,135,"325,500.00"
Thom Tillis Committee,182,"308,000.00"
Ronald Reagan Presidential Foundation and Institute,2,"300,000.00"
NRCC,132,"260,650.00"
McConnell Victory Committee,2,"260,600.00"
Democratic Senatorial Campaign Committee,90,"257,089.00"
NAACP,2,"250,000.00"
George W. Bush Foundation ,1,"250,000.00"
Congressional Black Caucus Institute,9,"248,700.00"
Collins for Senator,134,"241,250.00"
Peters for Michigan,147,"228,730.00"
DCCC,68,"227,985.00"
Cory Gardner for Senate,150,"224,706.91"
Pallone for Congress,115,"221,650.00"
Steve Daines for Montana,132,"219,355.45"
Nancy Pelosi for Congress,77,"214,905.00"
Democratic National Committee,19,"202,460.00"
Hoyer for Congress,92,"200,050.00"
U.S. Library of Congress,2,"200,000.00"
The Congressional Award,1,"200,000.00"
"Congressional Black Caucus Foundation, Inc.",8,"197,954.34"
Friends of Mark Warner,126,"197,450.00"
Congressional Hispanic Caucus Institute ,2,"180,000.00"
McConnell Center,1,"175,503.00"
"Congressional Hispanic Institute, Inc. (CHCI)",2,"175,000.00"
National Association of Latino Elected Officials ,1,"175,000.00"
National Museum of African American History and Culture,1,"175,000.00"
Chris Coons for Delaware,97,"172,500.00"
Blaine for Congress,107,"170,600.00"
Democratic Congressional Campaign Committee,36,"168,652.00"
DNC Services Corporation/Demc National Cmte,5,"165,000.00"
National Republican Congressional Committee,101,"161,450.00"
Walden for Congress,103,"161,300.00"
Brady for Congress,65,"160,000.00"
Congressional Black Caucus Foundation ,1,"160,000.00"
Friends of Pat Toomey,123,"159,432.45"
LaHood for Congress,129,"155,500.00"
Friends of Cheri Bustos,98,"151,350.00"
Friends of Schumer,67,"151,300.00"
IMPACT,38,"150,400.00"
Stephanie Murphy for Congress,78,"148,125.00"
Perdue for Senate,70,"144,450.00"
Graves for Congress,99,"143,549.98"
Scalise Leadership Fund,56,"143,225.00"
various vendors,2,"139,597.68"
McHenry for Congress,66,"138,000.00"
DeFazio for Congress,100,"135,375.00"
"Hamilton Live Venue, API Source Inc., Alchemy Photography, Deborah Cox",1,"134,316.90"
Tom Reed for Congress,98,"134,100.00"
No direct payment. Number reflects cost associated with annual dinner. ,1,"133,789.00"
The Markey Committee,91,"132,626.94"
Terri Sewell for Congress,91,"131,600.00"
"Congressional Hispanic Caucus Institute, Inc.",7,"128,014.90"
Kurt Schrader for Congress,89,"127,200.00"
Elise for Congress,96,"125,850.00"
Friends of Jim Clyburn,72,"125,750.00"
Tina Smith for Minnesota,74,"122,350.00"
Democratic Congressional Campaign Committee (DCCC),10,"121,500.00"
Stivers for Congress,63,"118,200.00"
Common Values PAC,49,"117,125.00"
Hudson for Congress,79,"116,150.00"
Vern Buchanan for Congress,77,"115,200.00"
Scalise for Congress,50,"113,300.00"
Brian Fitzpatrick for Congress,73,"111,750.00"
Team Hagerty,50,"111,700.00"
Schneider for Congress,67,"109,850.00"
Cathy McMorris Rodgers for Congress,73,"109,807.92"
Mike Kelly for Congress,78,"108,900.00"
Collins for Congress,62,"108,152.00"
The Ronald Reagan Presidential Foundation & Institute,2,"107,500.00"
Friends of Dick Durbin,65,"107,350.00"
Tim Scott for Senate,55,"106,350.00"
Republican Governors Association,2,"105,000.00"
Emmer for Congress,53,"104,849.98"
Shaheen for Senate,81,"104,025.00"
Liz Cheney for Wyoming,62,"102,800.00"
Jeffries for Congress,69,"102,150.00"
Nevadans for Steven Horsford,68,"101,747.98"
Texans for Jodey Arrington,82,"100,850.00"
Rodney for Congress,76,"100,800.00"
Bluegrass Committee,32,"100,414.37"
Suozzi for Congress,58,"100,300.00"
Kay Granger Campaign Fund,48,"100,000.00"
The Ronald Reagan Presidential Foundation and Institute,1,"100,000.00"
Congressional Black Caucus Foundation Inc,1,"100,000.00"
DCCC (FEC ID: C00000935),1,"100,000.00"
Congressional Hispanic Caucus ,1,"100,000.00"
Latta for Congress,63,"99,250.00"
Debbie Dingell for Congress,68,"98,600.00"
Carper for Senate,72,"98,500.00"
Kevin McCarthy for Congress,35,"98,335.02"
Defend America PAC,32,"97,000.00"
Capito for West Virginia,69,"96,963.52"
Sinema for Arizona,79,"96,900.00"
Bill Cassidy for US Senate,55,"96,825.00"
Congressional Black Caucus Foundation (CBCF),3,"95,000.00"
People for Patty Murray,58,"94,720.32"
Doug Jones for Senate Committee,60,"92,100.00"
Freedom Fund,27,"92,000.00"
Billy Long for Congress,38,"91,850.00"
"Congressional Black Caucus PAC, Cherie Wilson serves on the PAC Board ",23,"91,500.00"
Mike Thompson for Congress,53,"90,750.00"
Heartland Values PAC,47,"90,500.00"
Peterson for Congress,49,"89,000.00"
Congressional Black Caucus PAC (CBC PAC) - Marcus Mason serves on the board ,23,"89,000.00"
Richmond for Congress,61,"88,127.00"
Friends of Jim Inhofe,73,"88,000.00"
Alaskans for Dan Sullivan,56,"87,900.00"
Maloney for Congress,40,"87,600.00"
Guthrie for Congress,53,"87,200.00"
Ann Wagner for Congress,56,"86,800.00"
Trump Victory,16,"85,816.98"
Walorski for Congress,66,"85,500.00"
Joni for Iowa,55,"84,950.00"
Drew Ferguson for Congress,52,"84,500.00"
Richard E Neal for Congress Committee,40,"84,400.00"
Blumenauer for Congress,44,"84,000.00"
David Rouzer for Congress,56,"83,950.00"
Robin Kelly for Congress,45,"83,450.00"
Buddy Carter for Congress,73,"83,250.00"
Armstrong for Congress,60,"83,000.00"
Josh Gottheimer for Congress,62,"82,750.00"
Kind for Congress Committee,62,"82,750.00"
Jason Smith for Congress,59,"82,500.00"
Congressional Black Caucus PAC,24,"82,500.00"
The Reed Committee,57,"82,150.00"
Moran Victory Committee,45,"81,555.95"
Friends of Roy Blunt,52,"81,550.00"
Haley Stevens for Congress,88,"81,261.05"
Friends of Ben McAdams,51,"81,250.00"
Anthony Gonzalez for Congress,67,"81,050.00"
Rounds for Senate,58,"81,010.00"
Beatty for Congress,52,"80,650.00"
Scott Peters for Congress,59,"80,400.00"
Garret Graves for Congress,58,"80,000.00"
Dan Lipinski for Congress,47,"79,950.00"
Madison PAC,23,"79,000.00"
Various vendors,2,"78,982.09"
Texans for Senator John Cornyn Inc,34,"77,500.00"
Moderate Democrats PAC,21,"77,000.00"
Angie Craig for Congress,68,"76,891.05"
McConnell for Majority Leader,21,"76,700.00"
People for Derek Kilmer,62,"76,580.00"
John Carter for Congress,52,"76,370.00"
Donald Norcross for Congress,37,"75,900.00"
Friends of John Thune,49,"75,750.00"
Anna Eshoo for Congress,52,"75,600.00"
Hoyer For Congress,23,"75,000.00"
Congressional Sports for Charity,4,"75,000.00"
Reagan Presidential Foundation and Institute,2,"75,000.00"
Republican Attorneys General Association,1,"75,000.00"
Congressional Hispanic Caucus Institute (CHCI),1,"75,000.00"
New Democrat Coalition Action Fund,24,"74,750.00"
Making America Prosperous PAC,23,"74,500.00"
Armenian Assembly of America,1,"74,286.38"
Friends of Dan Kildee,68,"74,250.00"
Jimmy Panetta for Congress,61,"74,250.00"
Lisa Blunt Rochester for Congress,43,"74,050.00"
Citizens for Waters,31,"73,600.00"
Steil for Wisconsin,51,"72,916.75"
Friends of Glenn Thompson,54,"72,900.00"
McConnell for Senate Committee,32,"72,600.00"
Friends of Bennie Thompson,45,"72,500.00"
Impact,16,"72,500.00"
The Thom Tillis Committee,47,"72,400.00"
Warner Victory Fund,36,"71,400.00"
Jim Costa for Congress,47,"71,050.00"
McSally for Senate Inc.,29,"71,000.00"
Friends of Dave Joyce,54,"70,800.00"
CHERPAC,23,"70,500.00"
Friends of Raja for Congress,48,"70,415.20"
Cleaver for Congress,38,"70,250.00"
American Bankers Association ,1,"70,000.00"
Adrian Smith for Congress,60,"69,650.00"
Tony Cardenas for Congress,59,"69,350.00"
Paul Tonko for Congress,50,"69,000.00"
Quigley for Congress,45,"69,000.00"
Tom Reed For Congress,41,"69,000.00"
Pascrell for Congress,49,"68,930.00"
