recipientName,count,sum_amount
,1762,"3,503,782.00"
N/A,423,"706,538.69"
Mitch McConnell,117,"577,900.00"
International Republican Institute,3,"505,000.00"
Rep. Maxine Waters,15,"346,000.00"
National Republican Senatorial Committee,119,"343,208.00"
Members of the Congressional Hispanic Caucus,7,"337,500.00"
none,118,"310,315.00"
Senator Mitch McConnell,33,"271,938.00"
NRSC,99,"270,326.00"
President George W. Bush,2,"255,000.00"
The Reagan National Defense Forum,1,"250,000.00"
Members of the Congressional Black Caucus,10,"245,000.00"
Democratic Senatorial Campaign Committee,90,"233,454.00"
Thom Tillis,118,"220,150.00"
Dem National Cmte(DNC)-Federal Acct,9,"219,000.00"
Democratic National Committee,10,"212,360.00"
Steny Hoyer,82,"209,450.00"
Cory Gardner,113,"208,920.00"
"Debbie Dingell, Richard Hudson, Johnny Isakson, Sheila Jackson Lee, Joe Manchin",1,"200,000.00"
Dem Sen Camp Cmte(DSCC)-Federal Acct,8,"197,500.00"
Rep. Doris Matsui,15,"196,750.00"
Susan Collins,98,"191,600.00"
Natl Rep Sen Cmte(NRSC)-Federal Acct,10,"190,000.00"
Congressional Black Caucus,12,"189,959.76"
Kevin McCarthy,67,"188,200.00"
None,77,"186,693.12"
Ronald Reagan,3,"175,000.00"
"Congressional Hispanic Institute, Inc. (CHCI)",2,"175,000.00"
"Rep. Ruben Gallego, Rep. Pete Aguilar, Rep. Jimmy Gomez, Rep. Raul Ruiz, M.D., Rep. Juan Vargas, Rep. Grace Flores Napolitano",1,"175,000.00"
All members of the board who are members of Congress,1,"175,000.00"
John Cornyn,108,"170,942.50"
Donald Trump,16,"167,406.00"
Mark Warner,94,"164,325.00"
Gary Peters,94,"161,440.87"
2019 CBCF Annual Legislative Conference,1,"160,000.00"
David Perdue,73,"157,000.00"
Congressional Black Caucus Institute,4,"155,000.00"
DSCC,62,"153,116.64"
Nancy Pelosi,67,"152,800.00"
Steve Scalise,68,"152,325.00"
Kevin Brady,55,"147,800.00"
Democratic Congressional Campaign Committee,34,"141,602.00"
DCCC,59,"139,717.50"
Richard Neal,62,"139,350.00"
Patrick McHenry,63,"138,800.00"
Congressional Black Caucus Members,2,"135,000.00"
"Rep. Jahana Hayes (D-CT-5), Rep. Lucy McBath (D-GA-6), Rep. Ayanna Pressley (D-MA-7), Rep. Ilhan Omar (D-MN-5), Rep. Lauren Underwood (D-IL-14)",1,"134,316.90"
Senator Tom Udall ,1,"133,789.00"
Kay Bailey Hutchison (1 of 8 people honored at event),1,"132,562.68"
Congressional Black Caucus Foundation,5,"132,500.00"
Stephanie Murphy,58,"129,750.00"
Dem Cong Camp Cmte(DCCC)-Federal Acct,9,"125,500.00"
Natl Rep Cong Cmte(NRCC)-Federal Acct,7,"125,000.00"
National Republican Congressional Committee,85,"123,550.00"
Martha McSally,56,"118,295.00"
Rep. Kevin McCarthy,34,"116,235.02"
Cheri Bustos,68,"113,975.00"
Jerry Moran,42,"113,000.00"
Bill Hagerty,48,"112,700.00"
Tom Reed,73,"112,550.00"
Charles Schumer,34,"111,000.00"
Frank Pallone,54,"110,400.00"
Congressional Hispanic Caucus Members,2,"110,000.00"
Brian Fitzpatrick,51,"109,250.00"
Congressional Hispanic Caucus,6,"107,500.00"
The Ronald Reagan Presidential Foundation & Institute,2,"107,500.00"
Sen. Mitch McConnell,39,"104,750.00"
NRCC,112,"104,700.00"
Peter DeFazio,64,"103,750.00"
Tim Scott,52,"103,200.00"
Elise Stefanik,62,"101,150.00"
Todd Young,43,"100,000.00"
Sponsorship of Rosa Parks and Women's Suffrage Exhibitions.,1,"100,000.00"
Sponsorship and support of the 2020 Library of Congress Gershwin Prize for Popular Song Concert.,1,"100,000.00"
Republican Governors Association,1,"100,000.00"
THE DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE (MEMO: HEADQUARTERS/BUILDING FUND CONTRIBUTION),1,"100,000.00"
Joni Ernst,51,"98,650.00"
Steve Stivers,42,"95,800.00"
Hakeem Jeffries,50,"95,650.00"
Steven Horsford,59,"95,449.92"
Blaine Luetkemeyer,44,"94,500.00"
Doug Jones,78,"93,594.70"
Rob Portman,50,"91,850.00"
Christopher Coons,34,"91,250.00"
James Clyburn,33,"91,000.00"
Greg Walden,52,"89,050.00"
Pat Toomey,60,"86,432.45"
Kurt Schrader,57,"86,200.00"
Kyrsten Sinema,53,"85,750.00"
Cathy McMorris Rodgers,48,"85,700.00"
Terri Sewell,52,"85,534.76"
Jeanne Shaheen,55,"85,025.00"
"Reps. Ruben Gallego (Board Chair), Pete Aguilar, Jimmy Gomez, Grace Flores Napolitano, Raul Ruiz, and Juan Vargas",1,"85,000.00"
Steve Daines,62,"84,805.45"
Patty Murray,43,"84,080.00"
Roy Blunt,33,"83,500.00"
Tina Smith,51,"83,050.00"
Rodney Davis,58,"82,750.00"
Sen Charles E Schumer,25,"82,000.00"
Rep. Frank Pallone,50,"80,600.04"
Mike Thompson,46,"80,500.00"
"Congressional Hispanic Caucus Institute, Inc.",2,"80,000.00"
Kay Granger,38,"79,650.00"
Dick Durbin,47,"78,900.00"
Maxine Waters,30,"78,600.00"
Joyce Beatty,43,"77,650.00"
Ben Sasse,51,"77,500.00"
Josh Gottheimer,50,"77,175.00"
Rep Kevin McCarthy,20,"76,000.00"
Dan Sullivan,35,"75,350.00"
Republican Attorneys General Association,1,"75,000.00"
Rep Elijah Cummings (MD); Rep Karen Bass (CA); Rep David Scott (GA),1,"75,000.00"
Congressional Members of CHCI,1,"75,000.00"
Sen. Jeanne Shaheen,42,"73,600.00"
Linda Sanchez,37,"73,500.00"
Congressional Black Caucus PAC,19,"73,000.00"
Rep. Greg Walden,34,"72,300.00"
Rep Steny H Hoyer,23,"72,000.00"
Ron Kind,51,"71,600.00"
Pete Aguilar,38,"71,500.00"
Drew Ferguson,44,"71,300.00"
John Barrasso,27,"71,250.00"
Jodey Arrington,53,"71,100.00"
Marco Rubio,44,"70,900.00"
Andy Barr,43,"70,180.62"
American Bankers Association ,1,"70,000.00"
Congressional Members of CBCF,1,"70,000.00"
Gregory Meeks,41,"69,439.71"
Jack Reed,41,"69,300.00"
Rep Hakeem S Jeffries,21,"69,000.00"
John Thune,29,"68,000.00"
Rep. Richard Neal,34,"67,750.00"
Marc Veasey,43,"67,250.00"
Darin LaHood,51,"67,100.00"
Scott Peters,42,"66,650.00"
Debbie Stabenow,30,"66,500.00"
Shelley Moore Capito,41,"66,380.00"
Steven Daines,26,"66,000.00"
Richard Durbin,23,"66,000.00"
Ron Estes,44,"65,950.00"
Rep Cheri L Bustos,27,"65,500.00"
Ben McAdams,47,"65,412.50"
Michael Crapo,26,"65,200.00"
Tom Emmer,30,"64,849.98"
Rep. Nancy Pelosi,23,"64,600.00"
Ann Wagner,37,"64,400.00"
Cedric Richmond,36,"63,877.00"
Henry Cuellar,36,"63,800.00"
Richard Hudson,50,"62,750.00"
Jackie Walorski,47,"62,250.00"
Rep. Kurt Schrader,33,"62,250.00"
Rosemary Becchi,74,"62,100.00"
Sen. Steve Daines,34,"61,500.00"
Rep Richard E Neal,24,"61,500.00"
Billy Long,30,"61,250.00"
Robin Kelly,30,"61,250.00"
Earl Blumenauer,32,"61,000.00"
Sen. Thom Tillis,44,"60,500.00"
Sen Mitch McConnell,22,"60,500.00"
Lindsey Graham,32,"60,000.00"
Devin Nunes,33,"59,876.00"
John Katko,45,"59,800.00"
Rep Steve J Scalise,17,"59,500.00"
Brad Schneider,46,"59,480.00"
Rep. Steve Scalise,17,"59,000.00"
Sen John Cornyn III,20,"58,500.00"
Sen Dick Durbin,16,"58,500.00"
Eliot Engel,29,"57,800.00"
Tom O'Halleran,52,"57,275.00"
Tom Carper,33,"56,700.00"
Bryan Steil,41,"56,686.41"
Jeff Sessions,31,"56,300.00"
Senator John Cornyn,35,"56,200.00"
Rick Larsen,22,"56,000.00"
Lisa Murkowski,34,"55,950.00"
Katherine Clark,34,"55,700.00"
Derek Kilmer,32,"55,580.00"
Senator Mark Warner,38,"55,500.00"
Lonnie G. Bunch III ,1,"55,433.00"
Donald Norcross,31,"55,350.00"
Lee Zeldin,42,"55,250.00"
Rep. Steny Hoyer,26,"55,250.00"
Dan Kildee,47,"54,500.00"
Rep Thomas E Emmer Jr,25,"54,500.00"
Emanuel Cleaver,24,"54,250.00"
Marsha Blackburn,23,"54,250.00"
Sen. Susan Collins,28,"54,225.00"
Kelly Armstrong,35,"54,000.00"
Sen Rick Scott,16,"54,000.00"
Senator Mitch McConnell & Secretary Elaine L. Chao,1,"53,906.00"
Debbie Dingell,33,"53,800.00"
National Republican Congressional Committee (NRCC),28,"53,800.00"
Jimmy Panetta,44,"53,750.00"
Rosa DeLauro,31,"53,750.00"
Chris Coons,41,"53,570.20"
Sen Todd C Young,22,"53,500.00"
Denver Riggleman,39,"53,400.00"
Jacky Rosen,35,"53,250.00"
Bennie Thompson,28,"53,250.00"
Jon Tester,25,"53,073.00"
